,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
0,2006-10-20,AAPL,2.820357084274292,2.856786012649536,2.809643030166626,2.4379947185516357,639413600.0,4.0,0.0006567881657528751,2.4647573943239256,2.3819580559629396,100.0,66.66666666666667,100.0,2.4233577251434326,2.4233577251434326,0.0
0,2006-10-20,AMD,21.18000030517578,21.18000030517578,20.0,20.1200008392334,51593200.0,4.0,-0.019967935024158834,21.823649741402214,19.30635132671302,0.0,-66.66666666666667,100.0,20.565000534057617,20.565000534057617,0.0
0,2006-10-20,AMZN,1.6345000267028809,1.6345000267028809,1.6104999780654907,1.628499984741211,116788000.0,4.0,3.365408151556615e-05,1.6298713146752526,1.6256286443167518,100.0,-66.66666666666667,100.0,1.6277499794960022,1.6277499794960022,0.0
0,2006-10-20,BIDU,8.878999710083008,8.925000190734863,8.621999740600586,8.659000396728516,11914000.0,4.0,0.001323718291061482,8.712939010858321,8.546061767339921,100.0,66.6666666666672,100.0,8.629500389099121,8.629500389099121,0.0
0,2006-10-20,GOOG,11.431900024414062,11.45954704284668,11.297405242919922,11.448837280273438,467662368.0,4.0,0.018781368549053212,12.214136814046483,9.846425319742579,100.0,66.66666666666652,100.0,11.030281066894531,11.030281066894531,0.0
0,2006-10-20,INTC,21.18000030517578,21.450000762939453,21.049999237060547,13.337157249450684,61151200.0,4.0,0.0042085708715955406,13.508647272527135,12.978085210383021,100.0,66.66666666666667,100.0,13.243366241455078,13.243366241455078,0.0
0,2006-10-20,MSFT,28.479999542236328,28.489999771118164,28.170000076293945,20.57902717590332,48887800.0,4.0,0.002273724629329621,20.671676462573185,20.38503473432623,100.0,66.66666666666296,100.0,20.528355598449707,20.528355598449707,0.0
0,2006-10-20,NVDA,5.40166711807251,5.40500020980835,5.2216668128967285,4.865246295928955,35947800.0,4.0,-0.0012704516068469118,4.97364025267243,4.813478182233576,0.0,-66.66666666666667,100.0,4.893559217453003,4.893559217453003,0.0
0,2006-10-20,QCOM,38.34000015258789,38.41999816894531,37.20000076293945,26.1927433013916,16516000.0,4.0,-0.004029396252754225,26.536528299394703,26.028554250654125,0.0,66.66666666667679,100.0,26.282541275024414,26.282541275024414,0.0
1,2006-10-23,AAPL,2.856786012649536,2.924999952316284,2.8482139110565186,2.484042167663574,832507200.0,0.0,0.0022648071286055504,2.519527308788579,2.367644436511714,100.0,100.0,100.0,2.4435858726501465,2.4435858726501465,0.0
1,2006-10-23,AMD,20.219999313354492,20.8700008392334,20.149999618530273,20.239999771118164,34231700.0,0.0,-0.021721952895646268,21.422551467522684,19.49078242529958,12.240646193428958,-51.13638990838935,100.0,20.456666946411133,20.456666946411133,0.0
1,2006-10-23,AMZN,1.6234999895095825,1.6454999446868896,1.6069999933242798,1.6440000534057617,161186000.0,0.0,0.0005235381815569262,1.6519905005787723,1.6143428410197385,100.0,100.0,100.0,1.6331666707992554,1.6331666707992554,0.0
1,2006-10-23,BIDU,8.819999694824219,8.83899974822998,8.645000457763672,8.737000465393066,8657000.0,0.0,0.004105457305485061,8.802772305062284,8.527895190665255,100.0,51.66794035329133,100.0,8.66533374786377,8.66533374786377,0.0
1,2006-10-23,GOOG,11.513842582702637,12.070755958557129,11.466272354125977,11.974616050720215,606444615.0,0.0,0.04023555959659042,12.719752802085873,9.970365987586979,100.0,81.5982829902996,100.0,11.345059394836426,11.345059394836426,0.0
1,2006-10-23,INTC,21.280000686645508,21.600000381469727,21.1200008392334,13.412192344665527,53105200.0,0.0,0.007689388449088952,13.570178144414577,13.029105073969212,100.0,71.7985550680661,100.0,13.299641609191895,13.299641609191895,0.0
1,2006-10-23,MSFT,28.299999237060547,28.690000534057617,28.18000030517578,20.593505859375,48525000.0,0.0,0.0033461595902721797,20.676285836756918,20.423858867426027,100.0,100.00000000000001,100.0,20.550072352091473,20.550072352091473,0.0
1,2006-10-23,NVDA,5.2866668701171875,5.414999961853027,5.25,4.833106517791748,28024800.0,0.0,-0.0026154601119401377,4.963292639313481,4.783523995818355,0.0,-31.564404405920165,100.0,4.873408317565918,4.873408317565918,0.0
1,2006-10-23,QCOM,37.880001068115234,38.63999938964844,37.5099983215332,26.303266525268555,13494800.0,0.0,-0.0017069320490570306,26.470633076600688,26.108266306944234,38.898460960121014,100.00000000000225,100.0,26.28944969177246,26.28944969177246,0.0
2,2006-10-24,AAPL,2.9003570079803467,2.9171431064605713,2.864285945892334,2.47153902053833,463212400.0,1.0,0.002489239638504781,2.51858969430879,2.382558624935595,85.18068168864232,65.03452810232243,100.0,2.4505741596221924,2.4505741596221924,0.0
2,2006-10-24,AMD,20.479999542236328,20.639999389648438,20.280000686645508,20.31999969482422,37597100.0,1.0,-0.01909899791723646,21.222895791759907,19.622104475268902,19.072461622900732,-46.23119687897684,100.0,20.422500133514404,20.422500133514404,0.0
2,2006-10-24,AMZN,1.6434999704360962,1.899999976158142,1.6430000066757202,1.68149995803833,463106000.0,1.0,0.002087436255921782,1.6959681455102655,1.5945318397077826,100.0,133.33333333333368,100.0,1.645249992609024,1.645249992609024,0.0
2,2006-10-24,BIDU,8.557000160217285,8.722999572753906,8.406000137329102,8.425999641418457,12909000.0,1.0,-0.005958533889442563,8.869836596308636,8.341163846196247,29.563422294787713,-65.06638392715493,8.524113021984125,8.605500221252441,8.605500221252441,0.0
2,2006-10-24,GOOG,11.862536430358887,11.901888847351074,11.741241455078125,11.78856372833252,347706422.0,1.0,0.042289926616057016,12.662811916149813,10.249059040271085,87.3994406925042,64.52538140382593,100.0,11.45593547821045,11.45593547821045,0.0
2,2006-10-24,INTC,21.459999084472656,21.84000015258789,21.450000762939453,13.51849365234375,62841600.0,1.0,0.012922053357119268,13.665304071475228,13.043405168484488,100.0,108.92314659432711,100.0,13.354354619979858,13.354354619979858,0.0
2,2006-10-24,MSFT,28.43000030517578,28.43000030517578,28.1299991607666,20.47044563293457,61409600.0,1.0,-0.0006911244464085087,20.660397428073598,20.399933916530895,46.9009156442022,-70.34816174711267,63.2483651961295,20.530165672302246,20.530165672302246,0.0
2,2006-10-24,NVDA,5.2733330726623535,5.4766669273376465,5.258333206176758,4.973906517028809,51928800.0,1.0,0.0019204322844492694,5.02297568814044,4.774090046722841,62.63842371425704,133.33333333333564,100.0,4.898532867431641,4.898532867431641,0.0
2,2006-10-24,QCOM,37.650001525878906,37.95000076293945,36.56999969482422,25.356952667236328,20196800.0,1.0,-0.03477509864162798,27.00048413348921,25.112166737787646,8.750308611717998,-133.33333333333425,46.20920248064307,26.056325435638428,26.056325435638428,0.0
3,2006-10-25,AAPL,2.9053568840026855,2.9285709857940674,2.893213987350464,2.4907495975494385,485214800.0,2.0,0.003323221218182848,2.527608068713118,2.389610425702165,88.00583789529394,82.92167826418329,100.0,2.4586092472076415,2.4586092472076415,0.0
3,2006-10-25,AMD,20.350000381469727,20.93000030517578,20.350000381469727,20.829999923706055,30140000.0,2.0,0.0030224414000556976,21.287147440720613,19.720852742384853,46.525628581159005,11.439485802556947,43.96066422169617,20.504000091552733,20.504000091552733,0.0
3,2006-10-25,AMZN,1.8650000095367432,1.8990000486373901,1.8020000457763672,1.8839999437332153,930450000.0,2.0,0.01095122975888252,1.9110148438060635,1.474985121861661,100.0,131.16277787410868,100.0,1.6929999828338622,1.6929999828338622,0.0
3,2006-10-25,BIDU,8.425000190734863,8.569000244140625,8.425000190734863,8.489999771118164,7960000.0,2.0,-0.008755001581702615,8.833552619902015,8.331247642549158,38.748034925524195,-64.04036116449737,8.524113021984121,8.582400131225587,8.582400131225587,0.0
3,2006-10-25,GOOG,11.892672538757324,12.166894912719727,11.833395957946777,12.119572639465332,368877480.0,2.0,0.055687535886574935,12.790638150546952,10.3866876703759,89.77151807173385,77.74143070364322,100.0,11.588662910461426,11.588662910461426,0.0
3,2006-10-25,INTC,21.549999237060547,21.84000015258789,21.530000686645508,13.581012725830078,53309500.0,2.0,0.017981141266670164,13.736756394971092,13.062616087328713,100.0,91.35732198924873,100.0,13.399686241149903,13.399686241149903,0.0
3,2006-10-25,MSFT,28.280000686645508,28.459999084472656,28.139999389648438,20.492164611816406,40717100.0,2.0,-0.0020061261399781927,20.640359760308716,20.404771160101443,51.59373223408286,-38.86143565652702,67.12296334711749,20.52256546020508,20.52256546020508,0.0
3,2006-10-25,NVDA,5.468332767486572,5.550000190734863,5.376667022705078,5.019820213317871,38943600.0,2.0,0.006171750074859261,5.0757053716354426,4.7698753015823305,69.15585446465109,134.20979519570017,100.0,4.9227903366088865,4.9227903366088865,0.0
3,2006-10-25,QCOM,36.68000030517578,37.7400016784668,36.650001525878906,25.90953826904297,15486300.0,2.0,-0.03002308955460009,26.855106826953925,25.198829177684747,37.84856949178995,-67.81599129340195,46.20920248064307,26.026968002319336,26.026968002319336,0.0
4,2006-10-26,AAPL,2.924999952316284,2.950000047683716,2.8975000381469727,2.5063016414642334,432756800.0,3.0,0.004427106241858159,2.5395308937957943,2.393585065371686,89.65713564530422,91.78475355791376,100.0,2.4665579795837402,2.4665579795837402,0.0
4,2006-10-26,AMD,21.25,21.68000030517578,21.0,21.5,33031400.0,3.0,0.04491321016216432,21.743312563328786,19.596687589259105,63.399397397675266,107.58018233068397,18.878022708329503,20.670000076293945,20.670000076293945,0.0
4,2006-10-26,AMZN,1.8624999523162842,1.9244999885559082,1.8589999675750732,1.9149999618530273,341466000.0,3.0,0.017399303940960786,1.9962336689284674,1.4637662897456454,100.0,108.69097773043801,100.0,1.7299999793370564,1.7299999793370564,0.0
4,2006-10-26,BIDU,8.600000381469727,8.600000381469727,8.489999771118164,8.494999885559082,4230000.0,3.0,-0.010057685165918429,8.803533642854397,8.332133204374607,39.386816003032,-40.13378364968942,14.33161967532463,8.567833423614502,8.567833423614502,0.0
4,2006-10-26,GOOG,12.146471977233887,12.253071784973145,12.059797286987305,12.082213401794434,282322262.0,3.0,0.061097072571039135,12.81904601717822,10.522796634188968,87.84080858322464,77.61094130482051,100.0,11.670921325683594,11.670921325683594,0.0
4,2006-10-26,INTC,21.75,21.829999923706055,21.610000610351562,13.612273216247559,44042700.0,3.0,0.022021070390451314,13.78299934561164,13.087235461720715,100.0,78.54556104300448,100.0,13.435117403666178,13.435117403666178,0.0
4,2006-10-26,MSFT,28.329999923706055,28.40999984741211,28.040000915527344,20.521120071411133,69964200.0,3.0,-0.0015207595849169309,20.62768959647871,20.416959527666798,56.85285090468868,-80.4986430557355,21.485008132992476,20.522324562072754,20.522324562072754,0.0
4,2006-10-26,NVDA,5.480000019073486,5.658332824707031,5.480000019073486,5.178985595703125,36669000.0,3.0,0.015417365175626863,5.2154170296831905,4.715562063232663,81.02572600383782,148.1915767756743,100.0,4.965489546457927,4.965489546457927,0.0
