,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
1,2012-11-19,GOOG,326.625732421875,333.2110290527344,326.5410461425781,332.85736083984375,4754153.0,0.0,-7.981838631207438,347.3213759685012,320.87904212231916,45.69642142433767,-64.44297358183887,32.11264177977634,346.37901916503904,351.3030619303385
1,2012-11-19,INTC,19.989999771118164,20.450000762939453,19.729999542236328,15.613729476928711,69433800.0,0.0,-0.40999418583495384,17.230939064699893,15.227677096646541,36.33457359202741,-156.80414980651676,43.54429796807809,16.404774316151936,17.216608858108522
1,2012-11-19,MSFT,26.799999237060547,26.799999237060547,26.469999313354492,22.247344970703125,57179300.0,0.0,-0.5297262822228959,24.941458332033772,21.750488842038497,36.99667778501715,-157.82419190192402,43.16226107193694,23.657608222961425,24.456847635904946
1,2012-11-19,NVDA,2.8975000381469727,2.934999942779541,2.862499952316284,2.6869359016418457,40409200.0,0.0,-0.07926521233596251,3.0045912610707246,2.58285654910231,41.64392549002767,-126.74055648633116,33.82944787538983,2.8520557006200153,2.992756203810374
1,2012-11-19,QCOM,62.5,62.54999923706055,62.04999923706055,47.509246826171875,12168800.0,0.0,0.2864167787978076,48.33730706766072,43.44223013326702,53.57541567249699,112.57583236232605,17.03040908848967,45.97049357096354,46.942986996968585
2,2012-11-20,AAPL,20.425357818603516,20.426786422729492,19.806428909301758,17.32769203186035,642754000.0,1.0,-0.7193848707691224,19.615994024969012,15.69957146575364,41.93654816847012,-60.30849300756925,28.657845453550795,18.275193468729654,19.530434799194335
2,2012-11-20,AMD,1.9199999570846558,1.9199999570846558,1.8600000143051147,1.8799999952316284,11637300.0,1.0,-0.24943222981357072,2.2114593264841877,1.8425406100964699,30.252377067248347,-77.42703736240014,29.309942072235557,2.302333319187164,2.9413333316644033
2,2012-11-20,AMZN,230.0,233.82000732421875,229.5,233.77999877929688,2771700.0,1.0,-4.261544488581478,239.87301812486245,219.94098333998127,48.08311225192221,-30.058201383218467,11.74589258894391,235.33966776529948,244.569167582194
2,2012-11-20,BIDU,92.43000030517578,95.4000015258789,92.41999816894531,94.05000305175781,5141800.0,1.0,-4.961124611927232,119.48249405216433,88.56650573421263,36.23470644691517,-148.94037499060352,58.28361186647941,106.57666651407878,109.71933301289876
2,2012-11-20,GOOG,333.50494384765625,337.7341003417969,331.0441589355469,333.73406982421875,4193058.0,1.0,-7.188121534629943,346.76897322813517,320.8426509173726,46.14962444870264,-48.847060289837124,21.873445690030284,344.75709838867186,351.2463577270508
2,2012-11-20,INTC,19.8799991607666,19.8799991607666,19.350000381469727,15.043152809143066,85743300.0,1.0,-0.4486913264527068,17.30320564684824,15.036433253908596,32.936876153353424,-194.7928525578094,49.939714756576336,16.32924550374349,17.148825931549073
2,2012-11-20,MSFT,26.760000228881836,26.799999237060547,26.459999084472656,22.23069953918457,47070400.0,1.0,-0.5479293680522126,24.939071765212052,21.61167000267125,36.90814007034507,-142.54843503878382,43.2916225546153,23.577243995666503,24.411024475097655
2,2012-11-20,NVDA,2.8949999809265137,2.9075000286102295,2.8424999713897705,2.6557328701019287,33697600.0,1.0,-0.08073942669614276,3.007171093960242,2.5677406673236325,40.77736593071948,-134.83862583781112,35.71646494982186,2.8387674649556476,2.98224626382192
2,2012-11-20,QCOM,61.95000076293945,62.33000183105469,61.380001068115234,47.54750061035156,9751700.0,1.0,0.32907750041966466,48.53216192233245,43.506766300323804,53.69259623063067,100.59629405286175,8.396316479419335,45.95774065653483,46.94751491546631
3,2012-11-21,AAPL,20.15178680419922,20.263214111328125,19.878570556640625,17.352094650268555,373002000.0,2.0,-0.6524175394377991,19.30929324863934,15.791735193743474,42.10307632482299,-57.05065376306272,28.657845453550795,18.199437204996745,19.479717858632405
