,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,atr,turbulence
0,2019-01-02,AAPL,38.72249984741211,39.712501525878906,38.557498931884766,38.277523040771484,148158800.0,2.0,-2.0049731902275028,44.24256399258396,35.235167712127954,37.867335320599004,-91.58623107146884,42.25080813045024,40.98214213053385,46.21351744333903,1.9575590154858278,51.40889468763132
0,2019-01-02,AXP,93.91000366210938,96.2699966430664,93.7699966430664,91.34649658203125,4175400.0,2.0,-3.3780486897744026,109.07578704220754,83.53757279055614,41.20499372859461,-97.77872100119649,26.709416907858223,98.96538162231445,99.52786572774251,5.7324562927211575,51.40889468763132
0,2019-01-02,BA,316.19000244140625,323.95001220703125,313.7099914550781,314.6451416015625,3292200.0,2.0,-5.55059495502627,339.1163681144358,287.25202482990017,47.01000092682107,-21.712381804955967,13.611971735226405,314.4271606445312,331.9561533610026,15.9518415661813,51.40889468763132
0,2019-01-02,CAT,124.02999877929688,127.87999725341797,123.0,116.29701232910156,4783200.0,2.0,-0.6694576039729441,123.19643579953986,107.31698888307734,48.229085691176216,-5.2359060091019645,0.8734820911322506,115.80807647705078,117.96776161193847,12.507452078480807,51.40889468763132
0,2019-01-02,CSCO,42.279998779296875,43.20000076293945,42.209999084472656,39.00188064575195,23833500.0,2.0,-0.9272473773412457,45.22762720159864,36.138739375549804,44.87254497441041,-87.59103638071888,29.52937670833384,41.052316919962564,41.32156168619792,4.6821540915347315,51.40889468763132
0,2019-01-02,CVX,107.33999633789062,111.68000030517578,107.0999984741211,94.65721893310547,6384800.0,2.0,-1.8230753717776622,103.98372991074524,86.7288814784149,46.469158574087274,-59.012386416599846,12.402189501116398,96.97525838216146,98.00936381022136,17.92590438710383,51.40889468763132
0,2019-01-02,DD,74.70742797851562,78.18020629882812,74.45124053955078,72.92745208740234,8263226.0,2.0,-1.252812147450328,77.20735059550388,65.48005708882228,46.38082693384667,-24.932936193004707,6.143790897057985,73.0158701578776,74.78551737467448,6.195873624480592,51.40889468763132
0,2019-01-02,DIS,108.0999984741211,109.13999938964844,107.7300033569336,107.65433502197266,9723500.0,2.0,-1.6519140749574461,115.41276598646112,101.24347562120488,47.04543679503329,-60.258037667599574,13.99738358047887,109.5768679300944,111.42050654093424,3.413480314987478,51.40889468763132
0,2019-01-02,GS,164.3300018310547,172.25,163.35000610351562,160.80357360839844,3999400.0,2.0,-7.941014171186765,177.6271863742017,144.36698629425536,38.91651689077334,-62.25127333697214,15.405786122881201,167.7458984375,186.03388595581055,14.237764380869885,51.40889468763132
0,2019-01-02,HD,169.7100067138672,173.17999267578125,169.0500030517578,160.6147918701172,4242900.0,2.0,-1.7739557515045021,168.7998457992708,149.00706643217453,46.560007929073635,0.44378364784346125,2.3417145518652904,159.56765848795573,164.81081670125326,14.525647328847995,51.40889468763132
